#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Fri Nov 09 22:00:35 EST 2018,100,100,Assignment10Suite,AssertingBridgeSceneDynamicTestCase+ AsyncArthurAnimationTestCase+ AsyncGalahadAnimationTestCase+ AsyncLancelotAnimationTestCase+ AsyncRobinAnimationTestCase+ MoveCommandObjectTestCase+ SayCommandObjectTestCase+ , , , ,
1,Fri Nov 09 23:54:42 EST 2018,100,0,Assignment10Suite,AssertingBridgeSceneDynamicTestCase AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase AsyncRobinAnimationTestCase MoveCommandObjectTestCase SayCommandObjectTestCase , , , ,
